,subtaskname,minx,maxy,maxx,miny
193,L8-OLI-123-032-20180408-LSR12_13,547815.0,4407195.0,563175.0,4391835.0
194,L8-OLI-123-032-20180408-LSR12_14,562425.0,4407195.0,577785.0,4391835.0
195,L8-OLI-123-032-20180408-LSR13_0,357885.0,4392585.0,373245.0,4377225.0
196,L8-OLI-123-032-20180408-LSR13_1,372495.0,4392585.0,387855.0,4377225.0
197,L8-OLI-123-032-20180408-LSR13_2,387105.0,4392585.0,402465.0,4377225.0
198,L8-OLI-123-032-20180408-LSR13_3,401715.0,4392585.0,417075.0,4377225.0
199,L8-OLI-123-032-20180408-LSR13_4,416325.0,4392585.0,431685.0,4377225.0
200,L8-OLI-123-032-20180408-LSR13_5,430935.0,4392585.0,446295.0,4377225.0
201,L8-OLI-123-032-20180408-LSR13_6,445545.0,4392585.0,460905.0,4377225.0
202,L8-OLI-123-032-20180408-LSR13_7,460155.0,4392585.0,475515.0,4377225.0
203,L8-OLI-123-032-20180408-LSR13_8,474765.0,4392585.0,490125.0,4377225.0
204,L8-OLI-123-032-20180408-LSR13_9,489375.0,4392585.0,504735.0,4377225.0
205,L8-OLI-123-032-20180408-LSR13_10,503985.0,4392585.0,519345.0,4377225.0
206,L8-OLI-123-032-20180408-LSR13_11,518595.0,4392585.0,533955.0,4377225.0
207,L8-OLI-123-032-20180408-LSR13_12,533205.0,4392585.0,548565.0,4377225.0
208,L8-OLI-123-032-20180408-LSR13_13,547815.0,4392585.0,563175.0,4377225.0
209,L8-OLI-123-032-20180408-LSR13_14,562425.0,4392585.0,577785.0,4377225.0
210,L8-OLI-123-032-20180408-LSR14_0,357885.0,4377975.0,373245.0,4362615.0
211,L8-OLI-123-032-20180408-LSR14_1,372495.0,4377975.0,387855.0,4362615.0
212,L8-OLI-123-032-20180408-LSR14_2,387105.0,4377975.0,402465.0,4362615.0
213,L8-OLI-123-032-20180408-LSR14_3,401715.0,4377975.0,417075.0,4362615.0
214,L8-OLI-123-032-20180408-LSR14_4,416325.0,4377975.0,431685.0,4362615.0
215,L8-OLI-123-032-20180408-LSR14_5,430935.0,4377975.0,446295.0,4362615.0
216,L8-OLI-123-032-20180408-LSR14_6,445545.0,4377975.0,460905.0,4362615.0
217,L8-OLI-123-032-20180408-LSR14_7,460155.0,4377975.0,475515.0,4362615.0
218,L8-OLI-123-032-20180408-LSR14_8,474765.0,4377975.0,490125.0,4362615.0
219,L8-OLI-123-032-20180408-LSR14_9,489375.0,4377975.0,504735.0,4362615.0
220,L8-OLI-123-032-20180408-LSR14_10,503985.0,4377975.0,519345.0,4362615.0
